  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  17.000   1.5503   0.07510   0.06960  -0.0443   0.0165   1.0000
  17.250   1.5460   0.07897   0.07356  -0.0450   0.0159   1.0000
  17.500   1.5407   0.08304   0.07772  -0.0457   0.0154   1.0000
  17.750   1.5340   0.08735   0.08212  -0.0466   0.0150   1.0000
  18.000   1.5273   0.09172   0.08659  -0.0476   0.0146   1.0000
  18.250   1.5210   0.09608   0.09106  -0.0487   0.0143   1.0000
  18.500   1.5142   0.10058   0.09567  -0.0500   0.0139   1.0000
  18.750   1.5069   0.10521   0.10042  -0.0514   0.0136   1.0000
  19.000   1.4990   0.10997   0.10528  -0.0529   0.0132   1.0000
  19.250   1.4906   0.11488   0.11029  -0.0546   0.0129   1.0000
